"school_no","school_name","year","unpaid"
"362","Parkwood","2012-13",1174.4
"363","E K Powe","2012-13",235.17
"364","Pearsontown","2012-13",1056.04
"365","Riverside","2012-13",1352.19
"366","Githens","2012-13",10548.86
"367","R N Harris","2012-13",3088.33
"368","Southern","2012-13",2274.23
"369","Sandy Ridge","2012-13",808.8
"370","Rogers Herr","2012-13",1076.65
"372","Southwest","2012-13",2987.08
"374","C C Spaulding","2012-13",679.46
"376","Spring Valley","2012-13",315.34
"388","W G Pearson Elementary","2012-13",716.84
"389"," W G Pearson Middle","2012-13",691.95
"400","Y E Smith","2012-13",11019.16
"700","Southern STEM","2012-13",416.7
"701","Hillside New Tech","2012-13",290.68
"304","Bethesda","2013-14",8111.4
"306","Brogden","2013-14",1188.8
"308","Burton","2013-14",1369.16
"309","Early College","2013-14",158.4
"310","Eastway","2013-14",2717.95
"312","Jordan","2013-14",2026.38
"313","Easley","2013-14",928.09
"314","School for Creative Studies","2013-14",537.49
"315","Eno Valley","2013-14",1631.87
"316","Carrington","2013-14",2197.04
"317","City of Medicine","2013-14",300.93
"318","Club","2013-14",607.39
"319","Creekside","2013-14",1494.83
"320","Glenn","2013-14",3398.4
"322","Performance Learning Center","2013-14",967.78
"323","Durham School of the Arts","2013-14",933.85
"324","Hillandale","2013-14",2698.68
"325","Hillside","2013-14",1222.54
"327","Hope Valley","2013-14",4103.76
"328","Holt","2013-14",58.7
"332","Forestview","2013-14",1394.28
"336","DPS Hospital School","2013-14",416.89
"338","Shepard","2013-14",1770.94
"339","Lakewood Elementary","2013-14",378.4
"340","Little River","2013-14",334.48
"341","Lakeview","2013-14",2041.22
"342","Lakewood Middle","2013-14",690.95
"343","Lucas","2013-14",5423.3
"344","Fayetteville Street","2013-14",974.01
"346","Lowe's Grove","2013-14",2381.16
"347","George Watts","2013-14",1036.65
"348","Mangum","2013-14",338.59
"352","Merrick Moore","2013-14",6064.08
"353","Middle College","2013-14",4.3
"354","Morehead","2013-14",272.45
"355","Neal","2013-14",3114.71
"356","Northern","2013-14",1908.58
"360","Oak Grove","2013-14",1816.32
"362","Parkwood","2013-14",4118.5
"363","E K Powe","2013-14",1221.06
"364","Pearsontown","2013-14",668.31
"365","Riverside","2013-14",2939.33
"366","Githens","2013-14",5158.76
"367","R N Harris","2013-14",2781.92
"368","Southern","2013-14",5154.63
"369","Sandy Ridge","2013-14",1608.86
"370","Rogers Herr","2013-14",1209.85
"372","Southwest","2013-14",10920.92
"374","C C Spaulding","2013-14",1137.53
"376","Spring Valley","2013-14",746.21
"388","W G Pearson Elementary","2013-14",3007.1
"389"," W G Pearson Middle","2013-14",109.55
"400","Y E Smith","2013-14",633.9
"700","Southern STEM","2013-14",1150
"701","Hillside New Tech","2013-14",330.61
"304","Bethesda","2014-15",6.5
"306","Brogden","2014-15",926.04
"308","Burton","2014-15",4396.76
"309","Early College","2014-15",895.9
"310","Eastway","2014-15",0
"312","Jordan","2014-15",6676.57
"313","Easley","2014-15",1057.86
"314","School for Creative Studies","2014-15",1902.18
"315","Eno Valley","2014-15",765.68
"316","Carrington","2014-15",1266.94
"317","City of Medicine","2014-15",266.14
"318","Club","2014-15",187.24
"319","Creekside","2014-15",383.99
"320","Glenn","2014-15",16.45
"322","Performance Learning Center","2014-15",697.44
"323","Durham School of the Arts","2014-15",2591.47
"324","Hillandale","2014-15",764.74
"325","Hillside","2014-15",889.87
"327","Hope Valley","2014-15",3573.29
"328","Holt","2014-15",224.55
"332","Forestview","2014-15",513.3
"336","DPS Hospital School","2014-15",158.85
"338","Shepard","2014-15",819.92
"339","Lakewood Elementary","2014-15",2.55
"340","Little River","2014-15",188.21
"341","Lakeview","2014-15",284.44
"342","Lakewood Middle","2014-15",603.89
"343","Lucas","2014-15",10408.89
"344","Fayetteville Street","2014-15",0
"346","Lowe's Grove","2014-15",1549.31
